Feature Id,Importances
exposure_parent_ses_hs,10.673477829296367
volunteering_rate_hs,9.170163622362328
ec_high_own_ses_hs,8.215669417738303
ec_high_parent_ses_hs,7.717395009672492
exposure_own_ses_hs,5.654560533231031
nonwhite_share2010,4.788268261323016
ec_parent_ses_hs,3.6800407387011473
black,3.3257692940066423
white,3.2138492793081608
frac_coll_plus2016,2.8054615832077636
ec_own_ses_hs,2.390919792976839
civic_organizations_zip,1.6541476081199065
own_outright,1.4899043525809916
hispanic,1.4686085992569469
wealth_median,1.4050232110293985
college,1.3004425268616593
bias_high_own_ses_hs,1.273629476846664
ec_high_own_ses_se_hs,1.223115145634726
clustering_hs,1.1352606939874723
bias_high_parent_ses_hs,1.1164059895571712
foreign_share2016,1.1056507056203262
popdensity2010,1.043160698003455
house_value_mean,0.9811863885994764
bias_parent_ses_hs,0.9758823991913395
ec_high_parent_ses_se_hs,0.9615052788422265
bias_own_ses_hs,0.9360710972067108
ec_parent_ses_se_hs,0.817533495631313
unemp2015,0.8123678037800725
traveltime15_2016,0.8029104900923519
age,0.7749332683312137
own_mortgage,0.6603458586685788
female,0.6567680032104446
household_size,0.6464856177636598
mail_return_rate2010,0.6230922975426364
kfr_rP_gP_pall,0.5844613016978077
support_ratio_zip,0.580373755404946
clustering_zip,0.5675102267934586
kfr_rP_gP_p75_l,0.5653810631863855
ec_own_ses_se_hs,0.5579362603546356
wealth_gini,0.5407142651857914
wealth_bottom50,0.5355931794889666
pop2010,0.5033885825997106
p10,0.4980230141618135
p90,0.4944085799877722
lfp2010,0.4908035166720641
income_mean,0.488061270728401
kfr_rP_gP_p50_l,0.4669868041794363
kfr_rP_gP_pall_l,0.45706699073840634
median_rent2016,0.421643715211955
kfr_rP_gP_p1,0.406565844455714
own,0.3978734449629516
volunteering_rate_zip,0.38748812847181296
singleparent_share2016,0.3818607135999143
med_hhinc1990_real,0.37559435150687465
rent,0.37508587498708174
kfr_rP_gP_p25_l,0.3732068687732017
wealth_top1,0.3711991723353853
wealth_top10,0.3624723619101331
job_density_2013,0.35683862580968767
kfr_rP_gP_p50,0.3041992875461845
ann_avg_job_growth_2004_2013,0.2864783864532931
med_hhinc2010,0.28200962712788114
poor_share2016,0.27375395227186783
kfr_rP_gP_p1_l,0.26268509160623177
kfr_rP_gP_p25,0.2622782716579166
kfr_rP_gP_p100_l,0.21959422416626712
kfr_rP_gP_p100,0.2012854702850004
hhinc_mean2010,0.18860183606086053
wealth_top.01,0.1631123982326873
kfr_rP_gP_p75,0.1623522515555436
wealth_top.1,0.14330967194397093
med_hhinc2016_real,0.1407857683697013
wealth_top.001,0.06900948133548725
