Feature Id,Importances
ec_high_own_ses_hs,14.366428003352834
volunteering_rate_hs,9.695213839106055
ec_high_parent_ses_hs,8.808238197328555
exposure_parent_ses_hs,8.589381195233154
ec_parent_ses_hs,6.427535502018785
exposure_own_ses_hs,5.416282616957632
black,4.894969971358104
ec_own_ses_hs,3.8440826796115695
frac_coll_plus2016,2.527134410559442
ec_high_own_ses_se_hs,2.334170725571352
nonwhite_share2010,2.1422353633189695
white,2.0177052908443036
foreign_share2016,1.6424577858384461
own_outright,1.3874247571716056
college,1.3319976934714224
bias_high_own_ses_hs,1.2216874424925372
civic_organizations_zip,1.101000427152594
wealth_median,1.0771793822993638
house_value_mean,1.0472299737434436
kfr_rP_gP_pall,1.0261038460221894
kfr_rP_gP_p50_l,0.9471051683653451
clustering_hs,0.9267903090740831
ec_high_parent_ses_se_hs,0.8488477323812217
hispanic,0.7665135498281779
age,0.684624607515052
bias_parent_ses_hs,0.6552412665270456
female,0.6539313748101362
own_mortgage,0.6495291315772567
bias_own_ses_hs,0.6334000210945133
bias_high_parent_ses_hs,0.6143499073763156
popdensity2010,0.6005990112998595
household_size,0.5983993980569964
ec_parent_ses_se_hs,0.5825493618781792
wealth_gini,0.46406044953749725
mail_return_rate2010,0.4230275754699447
unemp2015,0.41242685957779895
kfr_rP_gP_pall_l,0.41238798947035743
kfr_rP_gP_p75_l,0.4097512495033869
p10,0.38894982788133264
wealth_bottom50,0.34910562919418936
income_mean,0.3430277206829579
kfr_rP_gP_p1,0.31461245868475496
kfr_rP_gP_p75,0.311136182935683
ec_own_ses_se_hs,0.29944553573801086
kfr_rP_gP_p100_l,0.29699511847469295
med_hhinc1990_real,0.2962933739595899
clustering_zip,0.2910287828960114
kfr_rP_gP_p25_l,0.2847364693514204
med_hhinc2016_real,0.27956683882986616
traveltime15_2016,0.2765347288754501
med_hhinc2010,0.2696859067004157
kfr_rP_gP_p25,0.26391762720895656
singleparent_share2016,0.2622765370269909
pop2010,0.2519269659077827
own,0.24953033134879257
ann_avg_job_growth_2004_2013,0.23810551591816365
support_ratio_zip,0.22041537203250156
job_density_2013,0.20859911452738952
lfp2010,0.20645999102625934
wealth_top10,0.1930143731816514
poor_share2016,0.1904636623025142
kfr_rP_gP_p50,0.18832163307260066
median_rent2016,0.1712484498165914
rent,0.17109073820038626
wealth_top1,0.1679816237536848
kfr_rP_gP_p1_l,0.15986704161538465
kfr_rP_gP_p100,0.13372511075583265
volunteering_rate_zip,0.13039191787367876
wealth_top.1,0.09702363895335436
hhinc_mean2010,0.08744749674141464
wealth_top.01,0.08702160753592535
p90,0.08420291022706541
wealth_top.001,0.05385569997317438
